Ion Number	Delta E (keV)	E_res (keV)
728	1320.47	19.77
730	1311.10	19.79
731	1320.40	19.93
733	1330.00	9.99
735	1310.19	19.68
736	1300.20	29.66
737	1331.08	9.96
738	1321.19	19.88
740	1291.89	39.69
743	1301.69	29.66
745	1330.12	9.85
746	1290.19	49.53
747	1330.79	9.95
748	1310.48	39.78
749	1300.80	29.71
750	1330.41	19.86
751	1320.51	29.54
753	1310.46	19.42
754	1321.14	9.25
755	1310.53	29.46
757	1300.68	29.95
759	1290.17	39.97
760	1311.12	19.99
761	1330.81	9.86
762	1320.29	28.43
764	1320.17	19.47
765	1330.05	19.91
766	1320.02	9.83
767	1320.08	18.95
768	1320.93	29.99
769	1320.67	9.77
770	1320.38	9.86
771	1300.85	29.96
773	1321.36	18.83
774	1320.17	8.30
776	1310.77	29.63
778	1291.21	39.91
779	1340.33	9.88
780	1321.31	9.76
781	1300.17	19.94
783	1310.10	29.45
785	1320.33	19.86
786	1310.52	29.78
788	1281.27	49.38
789	1301.30	29.54
790	1300.05	29.61
791	1300.28	39.85
792	1300.46	16.76
795	1321.18	19.99
796	1330.47	9.94
797	1320.48	19.72
798	1320.83	29.62
800	1301.54	29.89
801	1310.05	19.90
802	1310.80	29.78
803	1310.41	29.85
804	1310.19	19.72
805	1330.09	19.98
807	1310.47	29.93
808	1300.73	29.18
809	1320.25	9.88
810	1290.63	39.98
811	1310.56	29.99
812	1321.60	19.81
813	1270.94	49.87
814	1311.17	29.69
815	1330.47	9.97
816	1311.23	19.46
818	1290.31	19.84
819	1310.09	9.99
820	1290.07	49.62
821	1300.29	9.96
822	1321.08	29.66
823	1280.68	26.93
824	1300.56	39.35
825	1330.94	19.93
828	1330.34	9.84
829	1331.10	9.49
831	1310.69	19.99
832	1300.41	29.61
834	1311.60	19.82
836	1321.05	29.59
837	1330.95	9.98
838	1311.13	18.89
839	1311.11	19.73
840	1331.01	9.91
842	1301.90	29.65
843	1330.43	9.86
844	1300.76	39.80
845	1320.38	6.81
846	1310.74	29.36
847	1290.98	29.91
848	1290.69	39.49
849	1310.62	19.88
850	1300.32	29.57
851	1311.32	19.84
853	1310.50	2.57
854	1320.82	19.84
856	1311.28	29.52
859	1310.14	30.00
860	1290.26	29.93
861	1290.26	39.88
862	1300.41	29.77
863	1320.03	17.69
864	1310.96	29.16
865	1320.58	19.87
866	1310.50	19.76
868	1310.43	2.06
871	1310.25	29.98
873	1310.12	19.76
874	1313.55	19.97
875	1300.31	29.64
876	1310.23	29.68
877	1311.11	19.59
879	1310.14	19.84
883	1310.46	29.23
884	1320.04	9.87
885	1310.03	29.85
887	1321.31	19.78
889	1320.13	19.91
890	1300.59	19.83
891	1320.92	29.68
892	1291.61	29.59
893	1290.83	47.42
894	1300.61	19.60
896	1331.06	9.53
897	1321.30	19.70
900	1310.13	29.92
901	1311.00	39.58
902	1320.98	19.85
903	1310.48	29.98
905	1320.18	19.95
906	1300.13	29.28
907	1330.00	9.90
908	1301.39	29.87
909	1311.10	29.91
913	1320.30	19.82
914	1331.17	9.98
915	1300.63	39.74
916	1311.63	39.55
917	1321.27	19.70
920	1300.44	29.77
922	1320.18	19.80
923	1290.52	39.54
926	1320.45	19.81
927	1290.10	39.90
928	1330.55	9.79
929	1340.29	9.59
930	1301.57	29.68
932	1320.61	19.73
934	1320.58	19.94
935	1311.38	18.12
936	1300.09	29.30
940	1320.74	9.89
941	1330.82	8.79
942	1301.47	39.69
945	1330.25	19.80
946	1320.87	19.99
947	1330.84	19.91
948	1300.91	29.78
949	1320.81	29.48
950	1290.99	29.92
951	1301.38	39.66
953	1341.09	8.52
954	1310.49	29.98
956	1341.31	4.60
957	1330.45	17.23
958	1320.59	9.85
959	1311.00	19.88
960	1310.96	19.68
961	1310.62	9.87
962	1290.26	31.11
965	1320.18	19.83
966	1311.04	19.90
968	1300.95	29.82
969	1300.61	29.57
970	1330.55	9.90
971	1291.60	39.41
972	1300.28	39.72
976	1320.26	20.00
977	1300.95	19.76
979	1320.33	29.99
980	1300.92	39.95
981	1301.77	29.86
984	1310.41	19.94
985	1311.04	29.73
986	1320.87	29.51
989	1320.50	9.01
990	1300.63	29.62
991	1320.44	9.84
995	1321.15	19.83
996	1300.05	21.99
997	1320.78	19.46
998	1290.26	49.98
999	1310.34	28.97
